suburb,density,property,price,rooms,bedroom,toilets,ensuite,condition,constituency,council,carport,pool,furnished,cottage,power,pbackup,water,wbackup,gated,garden
166,2,3,1200,7,4,2,1,4,14,2,2,0,1,1,1,0,1,1,0,1
64,2,3,1200,7,3,2,1,4,26,2,1,0,1,0,1,1,1,1,0,0
58,2,1,850,5,3,2,1,4,12,2,3,0,0,0,1,0,1,1,1,1
51,2,1,500,3,1,1,0,4,26,2,1,0,0,0,1,0,1,0,0,1
19,2,3,1000,6,4,2,1,4,14,2,1,0,1,0,1,1,1,1,0,1
109,2,1,500,3,1,1,0,4,16,2,1,0,1,0,1,0,1,0,0,1
67,2,1,500,3,1,1,1,4,23,2,0,0,1,0,1,0,1,0,0,1
108,2,1,750,5,3,1,0,3,23,2,2,0,1,0,1,1,1,1,0,1
11,2,3,700,6,3,2,1,3,23,2,0,0,0,0,1,0,1,0,0,0
25,1,0,110,2,0,1,0,3,1,2,0,0,0,0,1,0,1,0,0,0
130,2,1,500,3,1,1,0,4,12,2,0,0,0,0,1,1,1,1,1,1
118,0,0,70,2,0,1,0,2,7,1,0,0,0,0,0,0,0,1,0,0
91,2,1,500,3,1,1,1,4,23,2,0,0,0,2,1,0,1,1,0,0
19,2,1,330,2,0,1,0,4,14,2,0,0,1,0,1,0,1,0,0,1
20,2,1,650,7,4,2,1,3,14,2,0,0,0,0,1,0,1,0,0,0
71,1,0,110,2,0,1,0,3,20,2,0,0,0,0,1,0,1,0,0,0
40,1,0,110,2,0,1,0,3,20,2,0,0,0,0,1,0,1,0,0,0
151,1,0,110,2,0,1,0,3,2,0,0,0,0,0,1,0,1,1,0,0
145,1,0,110,2,0,1,0,3,28,0,0,0,0,0,1,0,1,0,0,0
153,1,0,110,2,0,1,0,3,3,0,0,0,0,0,1,0,1,0,0,0
71,1,0,100,2,0,1,1,3,20,2,0,0,1,0,1,0,1,0,0,0
159,1,0,100,2,0,1,1,3,2,0,0,0,0,0,1,0,1,1,0,0
138,1,0,100,2,0,1,0,3,25,0,0,0,0,0,1,0,1,0,0,0
157,1,0,100,2,1,1,0,3,2,0,0,0,0,0,1,0,1,0,0,0
145,1,0,100,2,0,1,0,3,28,0,0,0,0,0,1,0,1,0,0,0
33,0,0,70,3,0,1,0,1,7,1,0,0,0,0,0,0,0,1,0,0
137,0,0,65,2,0,1,0,2,4,2,0,0,0,0,1,0,1,0,0,0
153,1,0,100,2,0,1,0,3,3,0,0,0,0,0,1,0,1,1,0,0
155,1,0,100,2,0,1,0,3,3,0,0,0,0,0,1,0,1,0,0,0
174,1,0,100,2,0,1,0,3,28,0,0,0,0,0,1,0,1,0,0,0
104,0,0,65,2,0,1,0,2,7,1,0,0,0,0,0,0,0,0,0,0
89,1,3,100,2,0,1,0,3,24,2,0,0,0,0,1,0,1,0,0,0
79,1,3,100,2,0,1,0,3,11,2,0,0,0,0,1,0,1,1,0,0
36,1,1,100,2,0,1,0,3,27,2,0,0,1,0,1,0,1,0,0,0
27,1,0,100,2,0,1,0,3,9,2,0,0,1,0,1,0,1,0,0,0
87,1,0,100,2,0,1,0,3,20,2,0,0,1,0,1,0,1,0,0,0
147,1,0,90,2,0,1,0,2,28,0,0,0,0,0,1,0,1,0,0,0
